Hex,Dec,Binary,Character/Token
0x6F,111,01101111,[UNASSIGNED]
0x70,112,01110000,UP
0x71,113,01110001,DOWN
0x72,114,01110010,LEFT
0x73,115,01110011,RIGHT
0x74,116,01110100,GRAPHICS
0x75,117,01110101,EDIT
0x76,118,01110110,HALT/NEWLINE
0x77,119,01110111,DELETE
0x78,120,01111000,RUBOUT
0x79,121,01111001,FUNCTION
0x7A,122,01111010,LINE FEED
0x7B,123,01111011,INVERSE
0x7C,124,01111100,TRUE VIDEO
0x7D,125,01111101,INV_CURSOR
0x7E,126,01111110,NUMBER
0x7F,127,01111111,CURSOR
0x80,128,10000000,[INV  (Space)]
0x81,129,10000001,[INV ▘]
0x82,130,10000010,[INV ▝]
0x83,131,10000011,[INV ▀]
0x84,132,10000100,[INV ▖]
0x85,133,10000101,[INV ▌]
0x86,134,10000110,[INV ▞]
0x87,135,10000111,[INV ▛]
0x88,136,10001000,[INV ◤]
0x89,137,10001001,[INV ◥]
0x8A,138,10001010,[INV ◢]
0x8B,139,10001011,[INV Invader]
0x8C,140,10001100,[INV Ghost]
0x8D,141,10001101,[INV Car]
0x8E,142,10001110,[INV Butterfly]
0x8F,143,10001111,"[INV ""]"
0x90,144,10010000,[INV $]
0x91,145,10010001,[INV :]
0x92,146,10010010,[INV ?]
0x93,147,10010011,[INV (]
0x94,148,10010100,[INV )]
0x95,149,10010101,[INV >]
0x96,150,10010110,[INV <]
0x97,151,10010111,[INV =]
0x98,152,10011000,[INV +]
0x99,153,10011001,[INV -]
0x9A,154,10011010,[INV *]
0x9B,155,10011011,[INV /]
0x9C,156,10011100,[INV 0]
0x9D,157,10011101,[INV 1]
0x9E,158,10011110,[INV 2]
0x9F,159,10011111,[INV 3]
0xA0,160,10100000,[INV 4]
0xA1,161,10100001,[INV 5]
0xA2,162,10100010,[INV 6]
0xA3,163,10100011,[INV 7]
0xA4,164,10100100,[INV 8]
0xA5,165,10100101,[INV 9]
0xA6,166,10100110,[INV A]
0xA7,167,10100111,[INV B]
0xA8,168,10101000,[INV C]
0xA9,169,10101001,[INV D]
0xAA,170,10101010,[INV E]
0xAB,171,10101011,[INV F]
0xAC,172,10101100,[INV G]
0xAD,173,10101101,[INV H]
0xAE,174,10101110,[INV I]
0xAF,175,10101111,[INV J]
0xB0,176,10110000,[INV K]
0xB1,177,10110001,[INV L]
0xB2,178,10110010,[INV M]
0xB3,179,10110011,[INV N]
0xB4,180,10110100,[INV O]
0xB5,181,10110101,[INV P]
0xB6,182,10110110,[INV Q]
0xB7,183,10110111,[INV R]
0xB8,184,10111000,[INV S]
0xB9,185,10111001,[INV T]
0xBA,186,10111010,[INV U]
0xBB,187,10111011,[INV V]
0xBC,188,10111100,[INV W]
0xBD,189,10111101,[INV X]
0xBE,190,10111110,[INV Y]
0xBF,191,10111111,[INV Z]
0xC0,192,11000000,[BASIC_TOKEN_0xC0]
0xC1,193,11000001,[BASIC_TOKEN_0xC1]
0xC2,194,11000010,[BASIC_TOKEN_0xC2]
0xC3,195,11000011,[BASIC_TOKEN_0xC3]
0xC4,196,11000100,[BASIC_TOKEN_0xC4]
0xC5,197,11000101,[BASIC_TOKEN_0xC5]
0xC6,198,11000110,[BASIC_TOKEN_0xC6]
0xC7,199,11000111,[BASIC_TOKEN_0xC7]
0xC8,200,11001000,[BASIC_TOKEN_0xC8]
0xC9,201,11001001,[BASIC_TOKEN_0xC9]
0xCA,202,11001010,[BASIC_TOKEN_0xCA]
0xCB,203,11001011,[BASIC_TOKEN_0xCB]
0xCC,204,11001100,[BASIC_TOKEN_0xCC]
0xCD,205,11001101,[BASIC_TOKEN_0xCD]
0xCE,206,11001110,[BASIC_TOKEN_0xCE]
0xCF,207,11001111,[BASIC_TOKEN_0xCF]
0xD0,208,11010000,[BASIC_TOKEN_0xD0]
0xD1,209,11010001,[BASIC_TOKEN_0xD1]
0xD2,210,11010010,[BASIC_TOKEN_0xD2]
0xD3,211,11010011,[BASIC_TOKEN_0xD3]
0xD4,212,11010100,[BASIC_TOKEN_0xD4]
0xD5,213,11010101,[BASIC_TOKEN_0xD5]
0xD6,214,11010110,[BASIC_TOKEN_0xD6]
0xD7,215,11010111,[BASIC_TOKEN_0xD7]
0xD8,216,11011000,[BASIC_TOKEN_0xD8]
0xD9,217,11011001,[BASIC_TOKEN_0xD9]
0xDA,218,11011010,[BASIC_TOKEN_0xDA]
0xDB,219,11011011,[BASIC_TOKEN_0xDB]
0xDC,220,11011100,[BASIC_TOKEN_0xDC]
0xDD,221,11011101,[BASIC_TOKEN_0xDD]
0xDE,222,11011110,[BASIC_TOKEN_0xDE]
0xDF,223,11011111,[BASIC_TOKEN_0xDF]
0xE0,224,11100000,[BASIC_TOKEN_0xE0]
0xE1,225,11100001,[BASIC_TOKEN_0xE1]
0xE2,226,11100010,[BASIC_TOKEN_0xE2]
0xE3,227,11100011,[BASIC_TOKEN_0xE3]
0xE4,228,11100100,[BASIC_TOKEN_0xE4]
0xE5,229,11100101,[BASIC_TOKEN_0xE5]
0xE6,230,11100110,[BASIC_TOKEN_0xE6]
0xE7,231,11100111,[BASIC_TOKEN_0xE7]
0xE8,232,11101000,[BASIC_TOKEN_0xE8]
0xE9,233,11101001,[BASIC_TOKEN_0xE9]
0xEA,234,11101010,[BASIC_TOKEN_0xEA]
0xEB,235,11101011,[BASIC_TOKEN_0xEB]
0xEC,236,11101100,[BASIC_TOKEN_0xEC]
0xED,237,11101101,[BASIC_TOKEN_0xED]
0xEE,238,11101110,[BASIC_TOKEN_0xEE]
0xEF,239,11101111,[BASIC_TOKEN_0xEF]
0xF0,240,11110000,[BASIC_TOKEN_0xF0]
0xF1,241,11110001,[BASIC_TOKEN_0xF1]
0xF2,242,11110010,[BASIC_TOKEN_0xF2]
0xF3,243,11110011,[BASIC_TOKEN_0xF3]
0xF4,244,11110100,[BASIC_TOKEN_0xF4]
0xF5,245,11110101,[BASIC_TOKEN_0xF5]
0xF6,246,11110110,[BASIC_TOKEN_0xF6]
0xF7,247,11110111,[BASIC_TOKEN_0xF7]
0xF8,248,11111000,[BASIC_TOKEN_0xF8]
0xF9,249,11111001,[BASIC_TOKEN_0xF9]
0xFA,250,11111010,[BASIC_TOKEN_0xFA]
0xFB,251,11111011,[BASIC_TOKEN_0xFB]
0xFC,252,11111100,[BASIC_TOKEN_0xFC]
0xFD,253,11111101,[BASIC_TOKEN_0xFD]
0xFE,254,11111110,[BASIC_TOKEN_0xFE]
0xFF,255,11111111,[UNASSIGNED]
